,Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,IMDb_rating,genre_1,genre_2,genre_3,Runtime,content_rating,Country
63,The Help,2011,25000000,169705587,Emma Stone,Bryce Dallas Howard,Mike Vogel,15000,3000.0,2000.0,8.1,Drama,,,146,PG-13,USA
64,The Fighter,2010,25000000,93571803,Christian Bale,Jack McGee,Melissa McMeekin,23000,238.0,141.0,7.8,Action,Biography,Drama,116,R,USA
65,The Grand Budapest Hotel,2014,25000000,59073773,Bill Murray,Tom Wilkinson,F. Murray Abraham,13000,1000.0,670.0,8.1,Adventure,Comedy,Drama,99,R,USA
66,Warrior,2011,25000000,13651662,Tom Hardy,Frank Grillo,Kevin Dunn,27000,798.0,581.0,8.2,Action,Drama,Sport,140,PG-13,USA
67,Her,2013,23000000,25556065,Scarlett Johansson,Brian Johnson,Matt Letscher,19000,128.0,105.0,8.0,Drama,Romance,Sci-Fi,126,R,USA
68,Silver Linings Playbook,2012,21000000,132088910,Jennifer Lawrence,Robert De Niro,Bradley Cooper,34000,22000.0,14000.0,7.8,Comedy,Drama,Romance,122,R,USA
69,12 Years a Slave,2013,20000000,56667870,Quvenzhan̩ Wallis,Scoot McNairy,Taran Killam,2000,660.0,500.0,8.1,Biography,Drama,History,134,R,USA
70,Spotlight,2015,20000000,44988180,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,745,168.0,77.0,8.1,Crime,Drama,History,128,R,USA
71,The Book Thief,2013,19000000,21483154,Emily Watson,Sophie N̩lisse,Roger Allam,876,526.0,326.0,7.6,Drama,War,,131,PG-13,USA
72,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42335698,Emma Stone,Naomi Watts,Merritt Wever,15000,6000.0,529.0,7.8,Comedy,Drama,,119,R,USA
73,127 Hours,2010,18000000,18329466,James Franco,Treat Williams,Kate Burton,11000,642.0,223.0,7.6,Adventure,Biography,Drama,94,R,USA
74,Midnight in Paris,2011,17000000,56816662,Kurt Fuller,Audrey Fleurot,Nina Arianda,617,204.0,183.0,7.7,Comedy,Fantasy,Romance,124,PG-13,Spain
75,Moonrise Kingdom,2012,16000000,45507053,Bruce Willis,Bill Murray,Bob Balaban,13000,13000.0,559.0,7.8,Adventure,Comedy,Drama,94,PG-13,USA
76,The King's Speech,2010,15000000,138795342,Colin Firth,Jennifer Ehle,Derek Jacobi,14000,1000.0,520.0,8.0,Biography,Drama,,118,R,UK
77,The Artist,2011,15000000,44667095,B̩r̩nice Bejo,Ed Lauter,Beth Grant,996,897.0,628.0,7.9,Comedy,Drama,Romance,100,PG-13,France
78,The Theory of Everything,2014,15000000,35887263,Eddie Redmayne,Emily Watson,Simon McBurney,13000,876.0,149.0,7.7,Biography,Drama,Romance,123,PG-13,UK
79,Drive,2011,15000000,35054909,Ryan Gosling,Albert Brooks,Russ Tamblyn,33000,745.0,228.0,7.8,Crime,Drama,,100,R,USA
80,Ex Machina,2014,15000000,25440971,Elina Alminas,Sonoya Mizuno,Corey Johnson,149,145.0,123.0,7.7,Drama,Mystery,Sci-Fi,108,R,UK
81,The Imitation Game,2014,14000000,91121452,Benedict Cumberbatch,Rory Kinnear,Allen Leech,19000,393.0,305.0,8.1,Biography,Drama,Thriller,114,PG-13,UK
82,Flipped,2010,14000000,1752214,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,1000,872.0,767.0,7.7,Comedy,Drama,Romance,124,PG,USA
83,Black Swan,2010,13000000,106952327,Natalie Portman,Mila Kunis,Mark Margolis,20000,15000.0,1000.0,8.0,Drama,Thriller,,108,R,USA
84,The Perks of Being a Wallflower,2012,13000000,17738570,Logan Lerman,Ezra Miller,Kate Walsh,8000,3000.0,850.0,8.0,Drama,Romance,,102,PG-13,USA
85,The Fault in Our Stars,2014,12000000,124868837,Shailene Woodley,Sam Trammell,Nat Wolff,8000,1000.0,733.0,7.8,Drama,Romance,,126,PG-13,USA
86,Philomena,2013,12000000,37707719,Steve Coogan,Mare Winningham,Peter Hermann,1000,482.0,322.0,7.6,Biography,Drama,,98,PG-13,UK
87,Nebraska,2013,12000000,17613460,Devin Ratray,Bruce Dern,Will Forte,1000,844.0,622.0,7.7,Adventure,Comedy,Drama,115,R,USA
88,About Time,2013,12000000,15294553,Tom Hughes,Tom Hollander,Lindsay Duncan,565,555.0,171.0,7.8,Comedy,Drama,Fantasy,123,R,UK
89,Amour,2012,8900000,225377,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,678,432.0,319.0,7.9,Drama,Romance,,127,PG-13,France
90,Nightcrawler,2014,8500000,32279955,Jake Gyllenhaal,Michael Papajohn,James Huang,15000,241.0,85.0,7.9,Crime,Drama,Thriller,118,R,USA
91,50/50,2011,8000000,34963967,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,23000,10000.0,3000.0,7.7,Comedy,Drama,Romance,100,R,USA
92,End of Watch,2012,7000000,40983001,Jake Gyllenhaal,Anna Kendrick,America Ferrera,15000,10000.0,953.0,7.7,Crime,Drama,Thriller,109,R,USA
93,Dallas Buyers Club,2013,5000000,27296514,Matthew McConaughey,Jennifer Garner,Denis O'Hare,11000,3000.0,896.0,8.0,Biography,Drama,,117,R,USA
94,Boyhood,2014,4000000,25359200,Ellar Coltrane,Lorelei Linklater,Libby Villari,230,193.0,127.0,7.9,Drama,,,165,R,USA
95,Whiplash,2014,3300000,13092000,J.K. Simmons,Melissa Benoist,Chris Mulkey,24000,970.0,535.0,8.5,Drama,Music,,107,R,USA
96,Before Midnight,2013,3000000,8114507,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,140,63.0,48.0,7.9,Drama,Romance,,109,R,USA
97,Star Wars: Episode VII - The Force Awakens,2015,245000000,936662225,Doug Walker,Rob Walker,0,131,12.0,0.0,8.1,Action,Adventure,Fantasy,136,PG-13,USA
98,Harry Potter and the Deathly Hallows: Part I,2010,150000000,296347721,Rupert Grint,Toby Jones,Alfred Enoch,10000,2000.0,1000.0,7.7,Adventure,Family,Fantasy,146,PG-13,UK
99,Tucker and Dale vs Evil,2010,5000000,223838,Katrina Bowden,Tyler Labine,Chelan Simmons,948,779.0,440.0,7.6,Comedy,Horror,,124,R,Canada
